"path","lines","language","area","size_band","review_action"
"internal/service/dm/service_chat_test.go","627","go","service","medium","large-cohesive-test-suite"
"internal/service/dm/service_chat_runtime_options_test.go","377","go","service","normal","no-size-signal"
"internal/service/dm/service_runtime_session_test.go","212","go","service","normal","no-size-signal"
"internal/service/dm/service_runtime_resume_test.go","626","go","service","medium","large-cohesive-test-suite"
"internal/service/dm/service_goal_runtime_test.go","420","go","service","normal","no-size-signal"
"internal/service/dm/service_goal_continuation_test.go","336","go","service","normal","no-size-signal"
"internal/service/dm/service_interrupt_test.go","415","go","service","normal","no-size-signal"
"internal/service/dm/service_input_queue_test.go","284","go","service","normal","no-size-signal"
"internal/service/dm/service_round_runner_test.go","497","go","service","normal","no-size-signal"
"internal/service/room/service_realtime_mentions_test.go","327","go","service","normal","no-size-signal"
"internal/service/room/service_realtime_queue_test.go","482","go","service","normal","no-size-signal"
"internal/service/room/service_realtime_chat_runtime_test.go","340","go","service","normal","no-size-signal"
"internal/service/room/service_realtime_runtime_policy_test.go","428","go","service","normal","no-size-signal"
"internal/service/room/service_realtime_session_test.go","589","go","service","medium","large-cohesive-test-suite"
"internal/service/room/service_realtime_chat_delivery_test.go","567","go","service","medium","large-cohesive-test-suite"
"internal/service/room/service_realtime_helpers_test.go","547","go","service","medium","large-cohesive-test-suite"
"internal/service/room/service_realtime_interrupt_test.go","294","go","service","normal","no-size-signal"
"internal/service/provider/service_catalog_runtime_test.go","553","go","service","medium","large-cohesive-test-suite"
"internal/service/provider/service_model_discovery_test.go","301","go","service","normal","no-size-signal"
"internal/service/provider/service_provider_http_test.go","295","go","service","normal","no-size-signal"
"internal/service/provider/service_visibility_mutation_test.go","266","go","service","normal","no-size-signal"
"internal/service/provider/service_model_mutation_test.go","232","go","service","normal","no-size-signal"
"internal/service/provider/service_test_helpers_test.go","203","go","service","normal","no-size-signal"
"web/src/shared/i18n/messages.ts","23","ts","frontend","normal","facade"
"web/src/shared/i18n/messages.zh.ts","790","ts","frontend","medium","data-table"
"web/src/shared/i18n/messages.en.ts","790","ts","frontend","medium","data-table"
"web/src/hooks/agent/use-agent-conversation.ts","1164","ts","frontend","medium","large-cohesive-hook"
"internal/runtime/mcp/automation/server_daily_report_test.go","734","go","automation","medium","large-cohesive-test-suite"
"internal/runtime/mcp/automation/server_events_status_test.go","249","go","automation","normal","no-size-signal"
"internal/runtime/mcp/automation/server_runs_test.go","264","go","automation","normal","no-size-signal"
"web/src/features/conversation/shared/editor/presentation-file-preview.tsx","254","tsx","frontend","normal","no-size-signal"
"desktop/macos/Sources/NexusDesktop/Update/DesktopUpdateChecker.swift","914","swift","desktop","medium","large-cohesive-update-flow"
"desktop/windows/Nexus.Desktop/Update/DesktopUpdateChecker.cs","793","cs","desktop","medium","large-cohesive-update-flow"
"internal/service/automation/service_recovery_runtime_test.go","430","go","automation","normal","no-size-signal"
"internal/service/automation/service_recovery_cleanup_test.go","419","go","automation","normal","no-size-signal"
"internal/service/automation/service_runtime_claim_test.go","223","go","automation","normal","no-size-signal"
"internal/message/processor_assistant_stream_test.go","510","go","other","medium","large-cohesive-test-suite"
"internal/message/processor_tool_result_test.go","383","go","other","normal","no-size-signal"
"internal/message/processor_error_permission_test.go","158","go","other","normal","no-size-signal"
"internal/runtime/mcp/automation/server_list_search_test.go","564","go","automation","medium","large-cohesive-test-suite"
"internal/runtime/mcp/automation/server_disable_test.go","285","go","automation","normal","no-size-signal"
"internal/service/dm/service_runtime_test_helpers_test.go","277","go","service","normal","no-size-signal"
"internal/runtime/mcp/automation/server_enable_delete_test.go","187","go","automation","normal","no-size-signal"
"internal/service/automation/service_execution_run_test.go","456","go","automation","normal","no-size-signal"
"internal/service/automation/service_execution_target_test.go","367","go","automation","normal","no-size-signal"
"internal/service/automation/service_execution_access_test.go","153","go","automation","normal","no-size-signal"
"internal/service/session/service_history_test.go","342","go","service","normal","no-size-signal"
"internal/service/session/service_lifecycle_listing_test.go","328","go","service","normal","no-size-signal"
"internal/service/dm/service_event_test_helpers_test.go","320","go","service","normal","no-size-signal"
"internal/service/session/service_test_helpers_test.go","254","go","service","normal","no-size-signal"
"internal/service/room/goal_runtime_context_test.go","381","go","service","normal","no-size-signal"
"internal/service/room/goal_runtime_helpers_test.go","210","go","service","normal","no-size-signal"
"internal/service/room/goal_runtime_continuation_test.go","196","go","service","normal","no-size-signal"
"internal/service/room/goal_runtime_usage_test.go","125","go","service","normal","no-size-signal"
"web/src/pages/landing/landing-page.tsx","242","tsx","frontend","normal","no-size-signal"
"web/src/features/conversation/shared/composer-panel.tsx","673","tsx","frontend","medium","large-cohesive-composer"
"internal/service/room/service_test_helpers_test.go","326","go","service","normal","no-size-signal"
"internal/service/dm/service_test_helpers_test.go","244","go","service","normal","no-size-signal"
"internal/service/room/service_settings_direct_test.go","243","go","service","normal","no-size-signal"
"internal/service/room/service_lifecycle_test.go","190","go","service","normal","no-size-signal"
"internal/service/dm/service_goal_test_helpers_test.go","182","go","service","normal","no-size-signal"
"internal/service/room/service_cleanup_test.go","143","go","service","normal","no-size-signal"
"internal/service/goal/service_continuation_progress_test.go","412","go","goal","normal","no-size-signal"
"internal/service/goal/service_continuation_plan_test.go","338","go","goal","normal","no-size-signal"
"internal/service/goal/service_steering_test.go","116","go","goal","normal","no-size-signal"
"internal/service/skills/marketplace_external_test.go","574","go","service","medium","large-cohesive-test-suite"
"internal/service/skills/marketplace_external_search_test.go","293","go","service","normal","no-size-signal"
"internal/service/channels/ingress_test.go","241","go","im-channel","normal","no-size-signal"
"internal/service/channels/ingress_permission_test.go","216","go","im-channel","normal","no-size-signal"
"internal/service/channels/ingress_weixin_test.go","207","go","im-channel","normal","no-size-signal"
"internal/service/channels/ingress_test_helpers_test.go","97","go","im-channel","normal","no-size-signal"
"internal/service/channels/ingress_dedupe_test.go","84","go","im-channel","normal","no-size-signal"
"web/src/features/conversation/shared/message/markdown/markdown-renderer-shared.tsx","192","tsx","frontend","normal","no-size-signal"
"web/src/features/settings/settings-panel.tsx","86","tsx","frontend","normal","no-size-signal"
"internal/runtime/executor_round_test.go","262","go","runtime","normal","no-size-signal"
"internal/runtime/executor_round_diagnostics_test.go","244","go","runtime","normal","no-size-signal"
"internal/runtime/executor_round_context_test.go","197","go","runtime","normal","no-size-signal"
"internal/runtime/executor_round_terminal_test.go","147","go","runtime","normal","no-size-signal"
"internal/service/conversation/titlegen/service_test.go","309","go","service","normal","no-size-signal"
"internal/service/conversation/titlegen/generation_test.go","298","go","service","normal","no-size-signal"
"internal/service/conversation/titlegen/test_helpers_test.go","113","go","service","normal","no-size-signal"
"internal/service/conversation/titlegen/preview_test.go","88","go","service","normal","no-size-signal"
"web/src/shared/ui/multi-select-menu.tsx","328","tsx","frontend","normal","no-size-signal"
"web/src/shared/ui/select-menu.tsx","275","tsx","frontend","normal","no-size-signal"
"internal/storage/sqlite/repository_room.go","740","go","storage","medium","large-cohesive-dialect-repository"
"internal/storage/postgres/repository_room.go","741","go","storage","medium","large-cohesive-dialect-repository"
"desktop/windows/Nexus.Desktop/WebView/WebViewHost.cs","710","cs","desktop","medium","large-cohesive-webview-host"
"internal/runtime/mcp/automation/server_create_delivery_test.go","372","go","automation","normal","no-size-signal"
"internal/runtime/mcp/automation/server_create_test.go","349","go","automation","normal","no-size-signal"
"internal/service/channels/router_delivery_test.go","420","go","im-channel","normal","no-size-signal"
"internal/service/channels/router_test_helpers_test.go","239","go","im-channel","normal","no-size-signal"
"internal/service/channels/router_test.go","67","go","im-channel","normal","no-size-signal"
"internal/service/channels/adapters/delivery_test.go","487","go","im-channel","normal","no-size-signal"
"internal/service/channels/adapters/dingtalk_delivery_test.go","222","go","im-channel","normal","no-size-signal"
"web/src/features/settings/provider-settings-panel.tsx","682","tsx","frontend","medium","large-cohesive-settings-panel"
"web/src/features/settings/settings-general-section.tsx","484","tsx","frontend","normal","large-cohesive-settings-section"
"web/src/features/agents/options/agent-options-editor.tsx","188","tsx","frontend","normal","no-size-signal"
"web/src/features/conversation/shared/message/blocks/ask-user-question-block.tsx","364","tsx","frontend","normal","no-size-signal"
"web/src/hooks/room-page-controller/use-room-page-controller.ts","463","ts","frontend","normal","no-size-signal"
"web/src/features/capability/channels/channels-directory.tsx","232","tsx","frontend","normal","no-size-signal"
"internal/service/channels/adapters/feishu_callback_test.go","367","go","im-channel","normal","no-size-signal"
"internal/service/channels/adapters/feishu_test.go","284","go","im-channel","normal","no-size-signal"
"internal/runtime/manager_test.go","632","go","runtime","medium","large-cohesive-test-suite"
"internal/runtime/clientopts/options_agent_client_test.go","629","go","runtime","medium","large-cohesive-test-suite"
"internal/service/automation/service_test_helpers_test.go","606","go","automation","medium","large-cohesive-test-suite"
"web/src/features/conversation/shared/message/item/content-renderer.tsx","351","tsx","frontend","normal","no-size-signal"
"internal/service/automation/service_test.go","598","go","automation","medium","large-cohesive-test-suite"
"web/src/features/settings/personal-settings-panel.tsx","407","tsx","frontend","normal","no-size-signal"
"desktop/macos/Sources/NexusDesktop/WebView/WebViewHost.swift","577","swift","desktop","medium","large-cohesive-webview-host"
"internal/service/agent/service_test.go","572","go","service","medium","large-cohesive-test-suite"
"internal/service/skills/service_test.go","365","go","service","normal","no-size-signal"
"internal/service/skills/service_registry_test.go","152","go","service","normal","no-size-signal"
"internal/service/skills/frontmatter_test.go","70","go","service","normal","no-size-signal"
"web/src/features/conversation/shared/message/blocks/tool-block.tsx","428","tsx","frontend","normal","no-size-signal"
"internal/service/automation/service_delivery_deadletter_test.go","399","go","automation","normal","no-size-signal"
"internal/service/connectors/service_connection_credentials_test.go","432","go","connectors","normal","no-size-signal"
"web/src/features/capability/scheduled/scheduled-task-run-history-dialog.tsx","267","tsx","frontend","normal","no-size-signal"
"internal/service/imagegen/service_provider_external_test.go","258","go","service","normal","no-size-signal"
"internal/service/imagegen/service_test.go","235","go","service","normal","no-size-signal"
"internal/service/imagegen/service_config_test.go","50","go","service","normal","no-size-signal"
"internal/service/imagegen/service_test_helpers_test.go","46","go","service","normal","no-size-signal"
"internal/service/automation/service_observability_daily_report_test.go","309","go","automation","normal","no-size-signal"
"internal/service/automation/service_observability_test.go","255","go","automation","normal","no-size-signal"
"internal/service/channels/service_control_pairing_test.go","541","go","im-channel","medium","large-cohesive-test-suite"
"web/src/features/conversation/shared/editor/editor-panel.tsx","517","tsx","frontend","medium","large-cohesive-editor-panel"
"web/src/features/conversation/shared/editor/spreadsheet-preview-model.ts","512","ts","frontend","medium","large-cohesive-spreadsheet-transform"
"internal/service/room/directed_message_test.go","495","go","service","normal","large-cohesive-test-suite"
"web/src/features/conversation/room/members/create-room-dialog.tsx","518","tsx","frontend","normal","large-cohesive-dialog"
"internal/runtime/mcp/automation/server_update_test.go","497","go","automation","normal","no-size-signal"
"internal/workspace/memory/engine_test.go","493","go","other","normal","no-size-signal"
"web/src/features/conversation/room/group/chat/group-chat-panel.tsx","500","tsx","frontend","medium","large-cohesive-chat-panel"
"internal/handler/channel/handlers.go","236","go","im-channel","normal","no-size-signal"
"internal/service/goal/service_usage_budget_test.go","488","go","goal","normal","no-size-signal"
"web/src/features/conversation/room/surface/room-surface-layout.tsx","485","tsx","frontend","normal","large-cohesive-room-surface"
"web/src/features/conversation/shared/editor/spreadsheet-file-preview.tsx","265","tsx","frontend","normal","no-size-signal"
"internal/service/room/execution.go","430","go","service","normal","no-size-signal"
"internal/service/goal/service_appserver_test.go","477","go","goal","normal","no-size-signal"
"web/src/features/capability/channels/pairings-directory.tsx","306","tsx","frontend","normal","no-size-signal"
"internal/service/goal/service_progress.go","353","go","goal","normal","no-size-signal"
"internal/runtime/debug_message_test.go","473","go","runtime","normal","no-size-signal"
"internal/storage/skills/repository.go","47","go","storage","normal","no-size-signal"
"internal/service/dm/service_round.go","290","go","service","normal","no-size-signal"
"web/src/features/conversation/shared/message/markdown/mermaid-view.tsx","462","tsx","frontend","normal","no-size-signal"
